obligor_id,issuer,rating,rating_score,pd_1y,exposure_usd,recovery_rate,recovery_stressed,sector,factor_sector,seniority,basel_correlation
1,JPMORGAN CHASE &,A+,2,0.0,846808154.52,0.3819073078922279,0.2673135198177614,Banking,Financials,Senior Unsecured,0.2
2,BANK OF AMERICA,A,2,0.0,753087865.26,0.3771692799675651,0.2640005076300079,Banking,Financials,Senior Unsecured,0.2
3,GOLDMAN,BBB+,2,0.0,737271237.55,0.3650854520000988,0.2555456185729593,Banking,Financials,Senior Unsecured,0.2
4,ORACLE,BB+,6,0.0005,688552116.15,0.2911572013044955,0.1892577293782004,Technology,Technology,Senior Unsecured,0.2370371894433999
5,WELLS FARGO &,BBB,3,0.0001,564806152.63,0.3620992636261573,0.2534510977996834,Banking,Financials,Senior Unsecured,0.2394014975031218
6,MORGAN STANLEY MTN,AA-,3,0.0001,507509541.53,0.3889294392970839,0.2722289947922982,Banking,Financials,Senior Unsecured,0.2394014975031218
7,CITIGROUP,A,3,0.0001,487672135.7,0.3711425126923691,0.2597744971997955,Banking,Financials,Senior Unsecured,0.2394014975031218
8,VERIZON,AA-,2,0.0,481640755.13,0.3245146050644429,0.2272038900838021,Communications,Communications,Senior Unsecured,0.2
9,AMAZON.COM,AA+,1,0.0,474242740.53,0.3275272943124812,0.1965153536595854,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
10,AT&T,BBB,2,0.0,458024641.22,0.3217565107205631,0.2252756087966048,Communications,Communications,Senior Unsecured,0.2
11,UNITEDHEALTH,BBB,1,0.0,409146248.49,0.3817375591273456,0.286297001341915,Insurance,Financials,Senior Unsecured,0.2
12,BROADCOM,AA+,1,0.0,407355684.77,0.3162597693092187,0.2055509140211526,Technology,Technology,Senior Unsecured,0.2
13,COMCAST,BBB,2,0.0,386281809.54,0.3236147979555672,0.2265731358884272,Communications,Communications,Senior Unsecured,0.2
14,T-MOBILE USA,AA+,2,0.0,371416592.72,0.3283478816848159,0.2298785986809211,Communications,Communications,Senior Unsecured,0.2
15,HSBC,BBB+,3,0.0001,367164697.77,0.3708213433101619,0.2595589199838993,Banking,Financials,Senior Unsecured,0.2394014975031218
16,META PLATFORMS,BBB,1,0.0,367154178.07,0.3248109576336353,0.2274064071531266,Communications,Communications,Senior Unsecured,0.2
17,CCO,BBB-,6,0.0005,356230496.76,0.4208704204616874,0.294607554373456,Communications,Communications,Senior Secured,0.2370371894433999
18,ABBVIE,BBB+,1,0.0,344623632.42,0.3644751132518748,0.2915887345157796,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
19,ALPHABET,AA-,1,0.0,334057422.65,0.3112461830308532,0.2023021287556892,Technology,Technology,Senior Unsecured,0.2
20,CVS HEALTH,BBB,2,0.0,328212218.15,0.3589832024050808,0.2871935670029565,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
21,APPLE,A-,1,0.0,315489287.26,0.311259610599093,0.2023161902440376,Technology,Technology,Senior Unsecured,0.2
22,AMGEN,AA-,1,0.0,311528002.23,0.3652680353520238,0.2922228720459285,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
23,PFIZER,BBB+,1,0.0,278368428.36,0.3645436856233648,0.2916429431271981,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
24,TRANSDIGM,BBB-,7,0.0009,274084873.14,0.4995388664540073,0.3496886725261543,Capital Goods,Industrials,Senior Secured,0.2347196978199719
25,CHARTER,BB+,4,0.0002,246823705.11,0.3079188995778178,0.2155141202536541,Communications,Communications,Senior Unsecured,0.2388059800499001
26,BOEING,BBB,2,0.0,244499959.68,0.3815117182246644,0.2670467331829091,Capital Goods,Industrials,Senior Unsecured,0.2
27,HOME DEPOT,A,1,0.0,229493175.87,0.3272894337020052,0.1963774636859706,Consumer Cyclical,Consumer Discretionary,Senior Unsecured,0.2
28,HCA,AA-,2,0.0,221909929.06,0.364212163151358,0.291379760298685,Consumer Non-Cyclical,Consumer Staples,Senior Unsecured,0.2
